track_id,chroma_stft_mean_01,chroma_stft_mean_02,chroma_stft_mean_03,chroma_stft_mean_04,chroma_stft_mean_05,chroma_stft_mean_06,chroma_stft_mean_07,chroma_stft_mean_08,chroma_stft_mean_09,chroma_stft_mean_10,chroma_stft_mean_11,chroma_stft_mean_12,chroma_stft_std_01,chroma_stft_std_02,chroma_stft_std_03,chroma_stft_std_04,chroma_stft_std_05,chroma_stft_std_06,chroma_stft_std_07,chroma_stft_std_08,chroma_stft_std_09,chroma_stft_std_10,chroma_stft_std_11,chroma_stft_std_12,mfcc_mean_01,mfcc_mean_02,mfcc_mean_03,mfcc_mean_04,mfcc_mean_05,mfcc_mean_06,mfcc_mean_07,mfcc_mean_08,mfcc_mean_09,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_std_01,mfcc_std_02,mfcc_std_03,mfcc_std_04,mfcc_std_05,mfcc_std_06,mfcc_std_07,mfcc_std_08,mfcc_std_09,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,rms_mean_01,rms_std_01,spectral_centroid_mean_01,spectral_centroid_std_01,zcr_mean_01,zcr_std_01
120161,0.248257,0.202268,0.244151,0.213059,0.186713,0.332705,0.300959,0.260288,0.341535,0.292246,0.250331,0.183323,0.365813,0.351812,0.292315,0.346181,0.285522,0.381469,0.329711,0.313378,0.398995,0.362703,0.346737,0.288316,-26.994801,-21.637238,-20.789841,-20.108501,-21.540428,-26.071766,-34.180214,-31.798298,-22.213057,-20.523605,-20.411331,-20.092299,-19.723186,-19.399710,-19.332075,-21.411116,-26.614285,-37.013084,-38.595196,-31.960705,184.188171,166.619934,164.030655,160.076248,158.686111,155.549942,154.989624,159.078812,164.360260,168.613266,161.128113,152.224091,149.550842,149.750427,148.977432,153.860916,160.220032,167.947281,156.098038,125.217270,0.090741,0.000000,0.083298,0.000000,0.037109,0.000000
120325,0.229105,0.274468,0.221760,0.211825,0.223252,0.222400,0.244372,0.232793,0.233215,0.229830,0.244375,0.260030,0.340264,0.325358,0.336984,0.326972,0.342472,0.354393,0.348449,0.343847,0.344822,0.343372,0.340675,0.350485,-32.754501,-27.590719,-26.936657,-26.682241,-26.845963,-26.580807,-26.530003,-26.576427,-26.862036,-26.579636,-26.565594,-26.344402,-26.461727,-26.607656,-26.493032,-26.461740,-26.431448,-26.584427,-26.607090,-26.548035,170.886307,153.775452,150.616425,150.776794,150.588013,151.737686,151.402084,150.652832,150.226593,150.104218,151.073837,150.995361,151.275543,151.709091,151.985703,151.767349,150.864426,151.245316,151.892273,152.419739,0.048890,0.000000,0.083314,0.000000,0.040039,0.000000
120315,0.205081,0.209108,0.208540,0.207055,0.194353,0.173302,0.168125,0.175548,0.188311,0.210300,0.190951,0.206167,0.343083,0.338361,0.339347,0.337759,0.315364,0.293742,0.292250,0.298170,0.315098,0.344173,0.332672,0.351416,-34.117653,-32.999302,-32.326664,-31.724035,-31.913700,-32.925953,-31.364588,-29.899647,-29.671131,-29.791142,-29.729252,-29.551208,-30.291000,-30.510447,-32.799923,-32.727242,-32.349140,-31.093756,-29.858154,-29.153400,141.404404,125.254883,123.412292,121.781929,122.786423,124.365784,123.991997,123.559334,123.522011,125.408882,126.935898,126.624374,125.686043,125.751129,125.385445,125.528450,124.596306,124.726662,125.769249,125.392563,0.077853,0.000000,0.126783,0.000000,0.048828,0.000000
120504,0.290347,0.245389,0.211669,0.201172,0.198445,0.214837,0.315696,0.426087,0.248330,0.208881,0.219444,0.238707,0.331213,0.324271,0.329261,0.331723,0.333302,0.332062,0.305905,0.278971,0.324859,0.337979,0.325317,0.319871,-42.233143,-41.191265,-43.778332,-46.123169,-46.740551,-38.647293,-35.931534,-36.351063,-36.875538,-35.450943,-36.790886,-39.865608,-38.862854,-37.985481,-38.743340,-40.854153,-40.699619,-41.600353,-42.191769,-42.480507,155.736343,140.077209,140.603668,142.334747,142.895569,138.761063,128.544220,119.979179,118.159904,119.699188,122.632057,125.120468,126.797134,127.845161,127.782265,127.220490,127.609169,128.381500,129.089935,129.370056,0.030302,0.000000,0.209344,0.000000,0.084473,0.000000
120312,0.210481,0.174101,0.351989,0.196357,0.204554,0.263920,0.207697,0.197342,0.264045,0.234264,0.213895,0.176093,0.360555,0.369464,0.411086,0.353213,0.362133,0.401558,0.359128,0.363666,0.365392,0.322747,0.366760,0.357529,-27.220963,-24.587400,-24.818727,-24.711237,-25.990925,-28.024988,-26.458004,-24.718517,-25.266874,-23.471945,-20.185768,-20.942135,-21.086401,-22.138163,-23.846821,-26.683283,-28.173145,-26.867050,-25.126944,-21.405926,167.294540,150.280838,147.701340,149.256607,151.688446,151.914688,154.056366,153.516571,149.202621,147.106033,149.073502,153.165085,152.463181,147.806686,147.257004,147.906464,149.311722,148.780930,144.536484,136.778152,0.091553,0.000000,0.157146,0.000000,0.050781,0.000000
120462,0.332555,0.177501,0.238528,0.233300,0.225777,0.237376,0.183313,0.134912,0.173447,0.190981,0.163624,0.171587,0.357044,0.271725,0.294551,0.290881,0.297636,0.288879,0.264234,0.265894,0.266623,0.271781,0.268501,0.271309,-32.449585,-29.722641,-32.101887,-32.798714,-30.870188,-30.533960,-32.874073,-32.291798,-31.357212,-32.221317,-33.868176,-32.820660,-32.950275,-33.865963,-34.685562,-33.770302,-34.105278,-34.232182,-33.984348,-33.866329,159.203522,140.371811,136.209091,136.753967,137.706711,140.460999,140.141953,137.791351,136.765350,137.127274,137.048157,136.552475,135.596878,137.615967,138.450790,135.944626,132.940979,131.746078,133.225861,135.964966,0.091253,0.000000,0.108333,0.000000,0.035156,0.000000
120324,0.211651,0.234526,0.357335,0.198342,0.189713,0.208637,0.186825,0.181718,0.176612,0.185339,0.180334,0.186299,0.360546,0.363049,0.408968,0.276125,0.291001,0.339678,0.317786,0.318601,0.315296,0.335896,0.311984,0.314876,-30.536045,-27.220928,-27.958487,-25.742100,-23.527813,-24.550634,-27.750305,-29.860569,-32.943859,-32.213997,-33.173481,-32.630913,-34.155224,-32.813972,-31.594738,-32.939362,-31.541666,-33.906212,-31.159494,-33.271935,165.267334,143.648422,133.334381,125.968842,122.507874,123.171890,126.172211,128.853104,129.240219,130.114044,131.900955,134.617279,137.441147,136.939545,137.060135,136.454697,136.507660,136.074158,136.735474,137.893372,0.074968,0.000000,0.086837,0.000000,0.045410,0.000000
120296,0.241862,0.223644,0.244350,0.227271,0.316589,0.243093,0.290910,0.284676,0.206659,0.276456,0.299341,0.230626,0.319520,0.278077,0.303731,0.281176,0.306139,0.245804,0.326563,0.352547,0.281010,0.300800,0.380139,0.341004,-21.926600,-18.530975,-19.321735,-19.514486,-19.508627,-20.604385,-22.048855,-20.424675,-18.893471,-20.813543,-23.543789,-21.969910,-21.748327,-21.499252,-22.310017,-22.250357,-22.584751,-23.241690,-23.493727,-23.072525,129.031693,111.441765,109.287933,111.455078,108.252480,102.491455,98.131004,96.116928,97.861847,99.162338,99.265114,100.094437,101.362198,102.176918,102.893211,103.197960,103.297707,104.638672,107.208412,106.423309,0.153521,0.000000,0.139999,0.000000,0.052246,0.000000
120778,0.139325,0.289030,0.419018,0.255057,0.352132,0.274594,0.265724,0.252295,0.295668,0.311212,0.339776,0.199887,0.284456,0.394276,0.403328,0.403240,0.372908,0.337727,0.318550,0.367286,0.397902,0.407358,0.406627,0.337437,-31.281805,-24.993233,-25.073849,-23.612392,-23.148325,-22.325733,-21.626698,-21.612072,-21.320410,-21.925076,-23.380945,-25.602127,-26.386068,-24.905460,-24.639751,-26.454813,-27.715851,-26.432245,-28.111090,-29.092016,163.601776,144.461334,141.294952,142.153305,141.706757,140.512512,140.727005,140.964798,140.815826,140.086365,140.737183,142.401001,141.057709,140.486633,140.658478,140.830673,141.347549,142.497238,142.395233,142.487732,0.031478,0.000000,0.137634,0.000000,0.070312,0.000000
120333,0.142744,0.146674,0.172703,0.176201,0.169345,0.184110,0.196887,0.187147,0.187156,0.189532,0.185734,0.202406,0.282445,0.280809,0.305043,0.310602,0.305796,0.314054,0.319133,0.312976,0.319870,0.328907,0.324290,0.333574,-30.218103,-26.403763,-26.670343,-26.500195,-26.046280,-26.127172,-26.102808,-26.295353,-26.568079,-26.885357,-27.017315,-26.710135,-26.340897,-26.081522,-26.001953,-26.210094,-26.617844,-26.611088,-26.482584,-26.125492,161.631561,144.795029,142.344604,141.255936,139.005554,138.610870,139.095413,140.447144,142.404099,144.066818,143.926041,143.189178,142.623138,142.344513,143.049118,143.589859,143.267654,141.983917,143.348724,143.479568,0.105255,0.000000,0.073486,0.000000,0.037109,0.000000
